dataset,Hydra_baseline,best_method,best_accuracy,hydra_gap_to_best
SemgHandMovementCh2,0.492741,Hydra+MultiRocket,0.771704,0.278963
SemgHandSubjectCh2,0.780593,Hydra+MultiRocket,0.917333,0.136740
SemgHandGenderCh2,0.824000,Hydra+MultiRocket,0.944556,0.120556
PigAirwayPressure,0.740385,Hydra+MiniRocket,0.835737,0.095352
EthanolLevel,0.664333,Hydra+MultiRocket,0.724000,0.059667
ScreenType,0.624089,Hydra+MultiRocket,0.677867,0.053778
EOGVerticalSignal,0.763996,Hydra+MultiRocket,0.814365,0.050369
FaceFour,0.888258,Hydra+MiniRocket,0.937879,0.049621
EOGHorizontalSignal,0.826980,Hydra+MultiRocket,0.871639,0.044659
Computers,0.818533,Hydra+MultiRocket,0.862400,0.043867
Crop,0.734821,Hydra+MultiRocket,0.776909,0.042088
MedicalImages,0.768728,Hydra+MultiRocket,0.808640,0.039912
FreezerSmallTrain,0.951930,Hydra+MultiRocket,0.991404,0.039474
WordSynonyms,0.749948,Hydra+MultiRocket,0.788871,0.038923
Phoneme,0.329712,Hydra+MultiRocket,0.367423,0.037711
Lightning2,0.737705,Hydra+Rocket,0.771038,0.033333
ChlorineConcentration,0.763385,Hydra+Rocket,0.795139,0.031754
ACSF1,0.806667,Hydra+MiniRocket,0.838000,0.031333
CricketZ,0.822564,Hydra+Rocket,0.853675,0.031111
CricketX,0.806581,Hydra+Rocket,0.835983,0.029402
SyntheticControl,0.969333,Hydra+Rocket,0.997111,0.027778
ArrowHead,0.869714,Hydra+MultiRocket,0.897143,0.027429
Lightning7,0.783105,Hydra+Rocket,0.809132,0.026027
CricketY,0.828376,Hydra+MiniRocket,0.853761,0.025385
UWaveGestureLibraryZ,0.797981,Hydra+MultiRocket,0.821608,0.023627
ElectricDevices,0.881671,Hydra+MultiRocket,0.903886,0.022215
InlineSkate,0.495879,Hydra+MiniRocket,0.517879,0.022000
PhalangesOutlinesCorrect,0.833761,Hydra+MultiRocket,0.855478,0.021717
DiatomSizeReduction,0.940087,Hydra+Rocket,0.960349,0.020262
UWaveGestureLibraryY,0.793123,Hydra+MultiRocket,0.813140,0.020017
FiftyWords,0.827179,Hydra+MultiRocket,0.845861,0.018682
NonInvasiveFetalECGThorax1,0.943834,Hydra+MultiRocket,0.962070,0.018236
MiddlePhalanxOutlineCorrect,0.834250,Hydra+MultiRocket,0.851546,0.017296
Haptics,0.516450,Hydra+MiniRocket,0.533009,0.016559
ShapeletSim,0.983704,Hydra+MultiRocket,1.000000,0.016296
UWaveGestureLibraryX,0.863521,Hydra+MultiRocket,0.878038,0.014517
PowerCons,0.962037,Hydra+MiniRocket,0.976481,0.014444
Ham,0.847619,Hydra+Rocket,0.861270,0.013651
TwoPatterns,0.986783,Hydra+Rocket,1.000000,0.013217
NonInvasiveFetalECGThorax2,0.957557,Hydra+Rocket,0.969500,0.011943
Yoga,0.925633,Hydra+MultiRocket,0.937322,0.011689
ProximalPhalanxOutlineCorrect,0.897022,Hydra+MultiRocket,0.908133,0.011111
UWaveGestureLibraryAll,0.973748,Hydra+MultiRocket,0.984683,0.010935
SmoothSubspace,0.969333,Hydra+MultiRocket,0.980222,0.010889
DistalPhalanxOutlineCorrect,0.831039,Hydra+MultiRocket,0.841184,0.010145
BirdChicken,0.918333,Hydra+Rocket,0.928333,0.010000
ShapesAll,0.938667,Hydra+MultiRocket,0.948278,0.009611
FacesUCR,0.961805,Hydra+Rocket,0.970813,0.009008
ECG200,0.894667,Hydra+Rocket,0.903667,0.009000
HouseTwenty,0.968908,Hydra+MultiRocket,0.977311,0.008403
Meat,0.983889,Hydra+MiniRocket,0.992222,0.008333
Adiac,0.815772,Hydra+MultiRocket,0.823956,0.008184
PigArtPressure,0.951603,Hydra+MiniRocket,0.959615,0.008012
Mallat,0.955721,Hydra+MiniRocket,0.963625,0.007904
FreezerRegularTrain,0.992550,Hydra+MiniRocket,0.998854,0.006304
PigCVP,0.911058,Hydra+MiniRocket,0.916987,0.005929
LargeKitchenAppliances,0.935556,Hydra+MultiRocket,0.941333,0.005777
HandOutlines,0.945495,Hydra+MultiRocket,0.950450,0.004955
InsectWingbeatSound,0.659966,Hydra+MultiRocket,0.664899,0.004933
SonyAIBORobotSurface1,0.954798,Hydra+Rocket,0.959401,0.004603
CBF,0.991852,Hydra+MiniRocket,0.996222,0.004370
Earthquakes,0.743165,Hydra+Rocket,0.747482,0.004317
FaceAll,0.984300,Hydra+Rocket,0.988540,0.004240
Worms,0.753247,Hydra+MiniRocket,0.757143,0.003896
SwedishLeaf,0.970613,Hydra+MultiRocket,0.974453,0.003840
SmallKitchenAppliances,0.833156,Hydra+MultiRocket,0.836622,0.003466
OliveOil,0.912222,Hydra+MiniRocket,0.915556,0.003334
UMD,0.987269,Hydra+MiniRocket,0.990509,0.003240
ItalyPowerDemand,0.961581,Hydra+MultiRocket,0.964043,0.002462
Coffee,0.997619,Hydra+MultiRocket,1.000000,0.002381
ProximalPhalanxTW,0.805854,Hydra+MiniRocket,0.807967,0.002113
ECG5000,0.947133,Hydra+Rocket,0.948511,0.001378
StarLightCurves,0.980379,Hydra+Rocket,0.981581,0.001202
Beef,0.805556,Hydra+MiniRocket,0.806667,0.001111
Strawberry,0.979369,Hydra+Rocket,0.980450,0.001081
ProximalPhalanxOutlineAgeGroup,0.845366,Hydra+MultiRocket,0.846179,0.000813
Chinatown,0.968222,Hydra+MiniRocket,0.968999,0.000777
GunPointMaleVersusFemale,0.999262,Hydra+MultiRocket,1.000000,0.000738
ToeSegmentation1,0.942982,Hydra+MiniRocket,0.943567,0.000585
GunPoint,0.998444,Hydra+MultiRocket,0.998667,0.000223
RefrigerationDevices,0.756089,Hydra+Rocket,0.756178,0.000089
InsectEPGRegularTrain,1.000000,Hydra_baseline,1.000000,0.000000
ToeSegmentation2,0.951026,Hydra_baseline,0.951026,0.000000
Trace,1.000000,Hydra_baseline,1.000000,0.000000
TwoLeadECG,0.999385,Hydra_baseline,0.999385,0.000000
FordB,0.932181,Hydra_baseline,0.932181,0.000000
InsectEPGSmallTrain,0.997590,Hydra_baseline,0.997590,0.000000
WormsTwoClass,0.805195,Hydra_baseline,0.805195,0.000000
Herring,0.618229,Hydra_baseline,0.618229,0.000000
Car,0.927778,Hydra_baseline,0.927778,0.000000
Wafer,0.999968,Hydra_baseline,0.999968,0.000000
Wine,0.951235,Hydra_baseline,0.951235,0.000000
BME,1.000000,Hydra_baseline,1.000000,0.000000
GunPointAgeSpan,0.996308,Hydra_baseline,0.996308,0.000000
BeetleFly,0.951667,Hydra_baseline,0.951667,0.000000
GunPointOldVersusYoung,1.000000,Hydra_baseline,1.000000,0.000000
DistalPhalanxTW,0.700959,Hydra_baseline,0.700959,0.000000
FordA,0.958535,Hydra_baseline,0.958535,0.000000
Fish,0.986286,Hydra_baseline,0.986286,0.000000
MiddlePhalanxOutlineAgeGroup,0.663203,Hydra_baseline,0.663203,0.000000
SonyAIBORobotSurface2,0.950892,Hydra_baseline,0.950892,0.000000
MiddlePhalanxTW,0.557792,Hydra_baseline,0.557792,0.000000
MixedShapesRegularTrain,0.981801,Hydra_baseline,0.981801,0.000000
MixedShapesSmallTrain,0.958763,Hydra_baseline,0.958763,0.000000
MoteStrain,0.935277,Hydra_baseline,0.935277,0.000000
CinCECGTorso,0.994130,Hydra_baseline,0.994130,0.000000
OSULeaf,0.978788,Hydra_baseline,0.978788,0.000000
DistalPhalanxOutlineAgeGroup,0.806235,Hydra_baseline,0.806235,0.000000
ECGFiveDays,0.998568,Hydra_baseline,0.998568,0.000000
Rock,0.892000,Hydra_baseline,0.892000,0.000000
Plane,1.000000,Hydra_baseline,1.000000,0.000000
Symbols,0.973032,Hydra_baseline,0.973032,0.000000
