dataset,Hydra_baseline,Hydra+MiniRocket,delta_Hydra+MiniRocket,Hydra+MultiRocket,delta_Hydra+MultiRocket,Hydra+Rocket,delta_Hydra+Rocket
ACSF1,0.806667,0.838000,0.031333,0.832667,0.026000,0.826667,0.020000
Adiac,0.815772,0.820631,0.004859,0.823956,0.008184,0.807758,-0.008014
ArrowHead,0.869714,0.884000,0.014286,0.897143,0.027429,0.876952,0.007238
BME,1.000000,0.993556,-0.006444,1.000000,0.000000,0.998222,-0.001778
Beef,0.805556,0.806667,0.001111,0.782222,-0.023334,0.781111,-0.024445
BeetleFly,0.951667,0.928333,-0.023334,0.906667,-0.045000,0.908333,-0.043334
BirdChicken,0.918333,0.925000,0.006667,0.896667,-0.021666,0.928333,0.010000
CBF,0.991852,0.996222,0.004370,0.993259,0.001407,0.995926,0.004074
Car,0.927778,0.923889,-0.003889,0.926111,-0.001667,0.921667,-0.006111
Chinatown,0.968222,0.968999,0.000777,0.967055,-0.001167,0.967541,-0.000681
ChlorineConcentration,0.763385,0.773628,0.010243,0.783464,0.020079,0.795139,0.031754
CinCECGTorso,0.994130,0.975725,-0.018405,0.969589,-0.024541,0.958406,-0.035724
Coffee,0.997619,0.997619,0.000000,1.000000,0.002381,1.000000,0.002381
Computers,0.818533,0.839600,0.021067,0.862400,0.043867,0.860933,0.042400
CricketX,0.806581,0.832735,0.026154,0.825128,0.018547,0.835983,0.029402
CricketY,0.828376,0.853761,0.025385,0.851709,0.023333,0.851624,0.023248
CricketZ,0.822564,0.846410,0.023846,0.843162,0.020598,0.853675,0.031111
Crop,0.734821,0.770591,0.035770,0.776909,0.042088,0.768657,0.033836
DiatomSizeReduction,0.940087,0.943464,0.003377,0.952179,0.012092,0.960349,0.020262
DistalPhalanxOutlineAgeGroup,0.806235,0.794964,-0.011271,0.797362,-0.008873,0.793046,-0.013189
DistalPhalanxOutlineCorrect,0.831039,0.829348,-0.001691,0.841184,0.010145,0.829952,-0.001087
DistalPhalanxTW,0.700959,0.694005,-0.006954,0.696882,-0.004077,0.696882,-0.004077
ECG200,0.894667,0.903333,0.008666,0.891667,-0.003000,0.903667,0.009000
ECG5000,0.947133,0.947652,0.000519,0.947348,0.000215,0.948511,0.001378
ECGFiveDays,0.998568,0.993806,-0.004762,0.995703,-0.002865,0.996322,-0.002246
EOGHorizontalSignal,0.826980,0.851934,0.024954,0.871639,0.044659,0.841252,0.014272
EOGVerticalSignal,0.763996,0.795580,0.031584,0.814365,0.050369,0.803131,0.039135
Earthquakes,0.743165,0.734772,-0.008393,0.744125,0.000960,0.747482,0.004317
ElectricDevices,0.881671,0.896455,0.014784,0.903886,0.022215,0.901759,0.020088
EthanolLevel,0.664333,0.683333,0.019000,0.724000,0.059667,0.675867,0.011534
FaceAll,0.984300,0.984813,0.000513,0.983945,-0.000355,0.988540,0.004240
FaceFour,0.888258,0.937879,0.049621,0.900758,0.012500,0.932576,0.044318
FacesUCR,0.961805,0.969886,0.008081,0.969593,0.007788,0.970813,0.009008
FiftyWords,0.827179,0.840733,0.013554,0.845861,0.018682,0.836190,0.009011
Fish,0.986286,0.982857,-0.003429,0.984190,-0.002096,0.980000,-0.006286
FordA,0.958535,0.953838,-0.004697,0.956162,-0.002373,0.947601,-0.010934
FordB,0.932181,0.927860,-0.004321,0.929424,-0.002757,0.920905,-0.011276
FreezerRegularTrain,0.992550,0.998854,0.006304,0.998643,0.006093,0.996327,0.003777
FreezerSmallTrain,0.951930,0.988105,0.036175,0.991404,0.039474,0.989064,0.037134
GunPoint,0.998444,0.998000,-0.000444,0.998667,0.000223,0.996444,-0.002000
GunPointAgeSpan,0.996308,0.994831,-0.001477,0.996203,-0.000105,0.994937,-0.001371
GunPointMaleVersusFemale,0.999262,0.999895,0.000633,1.000000,0.000738,0.999789,0.000527
GunPointOldVersusYoung,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
Ham,0.847619,0.860317,0.012698,0.850159,0.002540,0.861270,0.013651
HandOutlines,0.945495,0.946126,0.000631,0.950450,0.004955,0.946216,0.000721
Haptics,0.516450,0.533009,0.016559,0.531926,0.015476,0.517857,0.001407
Herring,0.618229,0.607812,-0.010417,0.610417,-0.007812,0.610938,-0.007291
HouseTwenty,0.968908,0.973389,0.004481,0.977311,0.008403,0.964706,-0.004202
InlineSkate,0.495879,0.517879,0.022000,0.508121,0.012242,0.516788,0.020909
InsectEPGRegularTrain,1.000000,1.000000,0.000000,1.000000,0.000000,0.999331,-0.000669
InsectEPGSmallTrain,0.997590,0.993708,-0.003882,0.996921,-0.000669,0.972825,-0.024765
InsectWingbeatSound,0.659966,0.661313,0.001347,0.664899,0.004933,0.659108,-0.000858
ItalyPowerDemand,0.961581,0.961322,-0.000259,0.964043,0.002462,0.961322,-0.000259
LargeKitchenAppliances,0.935556,0.928889,-0.006667,0.941333,0.005777,0.939733,0.004177
Lightning2,0.737705,0.756831,0.019126,0.757377,0.019672,0.771038,0.033333
Lightning7,0.783105,0.797717,0.014612,0.804110,0.021005,0.809132,0.026027
Mallat,0.955721,0.963625,0.007904,0.954513,-0.001208,0.963468,0.007747
Meat,0.983889,0.992222,0.008333,0.985556,0.001667,0.991667,0.007778
MedicalImages,0.768728,0.806360,0.037632,0.808640,0.039912,0.807588,0.038860
MiddlePhalanxOutlineAgeGroup,0.663203,0.652165,-0.011038,0.653030,-0.010173,0.626840,-0.036363
MiddlePhalanxOutlineCorrect,0.834250,0.846964,0.012714,0.851546,0.017296,0.842268,0.008018
MiddlePhalanxTW,0.557792,0.552814,-0.004978,0.551515,-0.006277,0.542857,-0.014935
MixedShapesRegularTrain,0.981801,0.977773,-0.004028,0.980509,-0.001292,0.975560,-0.006241
MixedShapesSmallTrain,0.958763,0.953993,-0.004770,0.956440,-0.002323,0.948632,-0.010131
MoteStrain,0.935277,0.920501,-0.014776,0.907188,-0.028089,0.912939,-0.022338
NonInvasiveFetalECGThorax1,0.943834,0.956047,0.012213,0.962070,0.018236,0.960577,0.016743
NonInvasiveFetalECGThorax2,0.957557,0.968499,0.010942,0.968092,0.010535,0.969500,0.011943
OSULeaf,0.978788,0.973003,-0.005785,0.969008,-0.009780,0.969835,-0.008953
OliveOil,0.912222,0.915556,0.003334,0.912222,0.000000,0.897778,-0.014444
PhalangesOutlinesCorrect,0.833761,0.847475,0.013714,0.855478,0.021717,0.849767,0.016006
Phoneme,0.329712,0.323049,-0.006663,0.367423,0.037711,0.316034,-0.013678
PigAirwayPressure,0.740385,0.835737,0.095352,0.723397,-0.016988,0.712981,-0.027404
PigArtPressure,0.951603,0.959615,0.008012,0.935417,-0.016186,0.932853,-0.018750
PigCVP,0.911058,0.916987,0.005929,0.853526,-0.057532,0.894872,-0.016186
Plane,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
PowerCons,0.962037,0.976481,0.014444,0.974444,0.012407,0.974444,0.012407
ProximalPhalanxOutlineAgeGroup,0.845366,0.844228,-0.001138,0.846179,0.000813,0.843740,-0.001626
ProximalPhalanxOutlineCorrect,0.897022,0.903322,0.006300,0.908133,0.011111,0.904467,0.007445
ProximalPhalanxTW,0.805854,0.807967,0.002113,0.800650,-0.005204,0.803089,-0.002765
RefrigerationDevices,0.756089,0.746222,-0.009867,0.748533,-0.007556,0.756178,0.000089
Rock,0.892000,0.873333,-0.018667,0.864000,-0.028000,0.884000,-0.008000
ScreenType,0.624089,0.627289,0.003200,0.677867,0.053778,0.661156,0.037067
SemgHandGenderCh2,0.824000,0.893389,0.069389,0.944556,0.120556,0.906611,0.082611
SemgHandMovementCh2,0.492741,0.588519,0.095778,0.771704,0.278963,0.660148,0.167407
SemgHandSubjectCh2,0.780593,0.845778,0.065185,0.917333,0.136740,0.887630,0.107037
ShapeletSim,0.983704,0.998148,0.014444,1.000000,0.016296,0.997963,0.014259
ShapesAll,0.938667,0.944167,0.005500,0.948278,0.009611,0.937778,-0.000889
SmallKitchenAppliances,0.833156,0.833689,0.000533,0.836622,0.003466,0.835467,0.002311
SmoothSubspace,0.969333,0.962889,-0.006444,0.980222,0.010889,0.975778,0.006445
SonyAIBORobotSurface1,0.954798,0.953411,-0.001387,0.948697,-0.006101,0.959401,0.004603
SonyAIBORobotSurface2,0.950892,0.950087,-0.000805,0.950542,-0.000350,0.942742,-0.008150
StarLightCurves,0.980379,0.981553,0.001174,0.981524,0.001145,0.981581,0.001202
Strawberry,0.979369,0.980090,0.000721,0.979730,0.000361,0.980450,0.001081
SwedishLeaf,0.970613,0.970613,0.000000,0.974453,0.003840,0.969707,-0.000906
Symbols,0.973032,0.971658,-0.001374,0.972362,-0.000670,0.972060,-0.000972
SyntheticControl,0.969333,0.991222,0.021889,0.994667,0.025334,0.997111,0.027778
ToeSegmentation1,0.942982,0.943567,0.000585,0.929386,-0.013596,0.936257,-0.006725
ToeSegmentation2,0.951026,0.948205,-0.002821,0.943846,-0.007180,0.944359,-0.006667
Trace,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
TwoLeadECG,0.999385,0.997951,-0.001434,0.997922,-0.001463,0.998537,-0.000848
TwoPatterns,0.986783,0.996083,0.009300,0.999992,0.013209,1.000000,0.013217
UMD,0.987269,0.990509,0.003240,0.984954,-0.002315,0.984491,-0.002778
UWaveGestureLibraryAll,0.973748,0.980402,0.006654,0.984683,0.010935,0.980998,0.007250
UWaveGestureLibraryX,0.863521,0.870566,0.007045,0.878038,0.014517,0.872204,0.008683
UWaveGestureLibraryY,0.793123,0.805295,0.012172,0.813140,0.020017,0.804411,0.011288
UWaveGestureLibraryZ,0.797981,0.814750,0.016769,0.821608,0.023627,0.813037,0.015056
Wafer,0.999968,0.999881,-0.000087,0.999811,-0.000157,0.999757,-0.000211
Wine,0.951235,0.943827,-0.007408,0.930247,-0.020988,0.942593,-0.008642
WordSynonyms,0.749948,0.780042,0.030094,0.788871,0.038923,0.776594,0.026646
Worms,0.753247,0.757143,0.003896,0.741991,-0.011256,0.744156,-0.009091
WormsTwoClass,0.805195,0.797403,-0.007792,0.796537,-0.008658,0.786147,-0.019048
Yoga,0.925633,0.936278,0.010645,0.937322,0.011689,0.934811,0.009178
